Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série A,Tabajara de Inhaua FC2,18,6,0,2,771.5009765625,637.879638671875,133.621337890625,1
Série A,Analove10 ITAQUI GRANDE!!,18,6,0,2,767.99072265625,695.6298828125,72.36083984375,2
Série A,Atlético Colorado 2021,18,6,0,2,736.679931640625,651.5400390625,85.139892578125,3
Série A,Time do S.A.P.O,18,6,0,2,710.9599609375,647.03955078125,63.92041015625,4
Série A,Texas Club 2025,15,5,0,3,709.48974609375,680.439453125,29.05029296875,5
Série A,SISO FC25,15,5,0,3,706.88037109375,689.749755859375,17.130615234375,6
Série A,cartola scheuer,15,5,0,3,686.39990234375,668.8095703125,17.59033203125,7
Série A,Eleis-Itaqui,15,5,0,3,661.430908203125,648.43017578125,13.000732421875,8
Série A,Grêmio imortal 37,12,4,0,4,740.239013671875,720.130615234375,20.1083984375,9
Série A,Tatols Beants F.C,12,4,0,4,706.52978515625,660.890380859375,45.639404296875,10
Série A,OlhaEleAiF.C!,12,4,0,4,682.400390625,676.23046875,6.169921875,11
Série A,Gremiomaniasm,12,4,0,4,667.869384765625,682.22021484375,-14.350830078125,12
Série A,TIGRE LEON,12,4,0,4,663.150146484375,721.87939453125,-58.729248046875,13
Série A,Fedato Futebol Clube,9,3,0,5,696.53076171875,742.090576171875,-45.559814453125,14
Série A,E.C. Bororé,9,3,0,5,654.390380859375,672.690673828125,-18.30029296875,15
Série A,BORGES ITAQUI F.C.,9,3,0,5,649.71044921875,696.01025390625,-46.2998046875,16
Série A,lsauer fc,6,2,0,6,719.71044921875,754.7109375,-35.00048828125,17
Série A,FBC Colorado,6,2,0,6,675.689453125,730.2099609375,-54.5205078125,18
Série A,Rolo Compressor ZN,6,2,0,6,591.080078125,672.460205078125,-81.380126953125,19
Série A,seralex,3,1,0,7,629.480224609375,779.0712890625,-149.591064453125,20
