Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série B,PUXE FC,12,4,0,0,351.93994140625,303.23974609375,48.7001953125,1
Série B,lsauer fc,12,4,0,0,338.77001953125,289.16015625,49.60986328125,2
Série B,Real SCI,9,3,0,1,366.4599609375,313.169921875,53.2900390625,3
Série B,Pity10,9,3,0,1,349.560546875,329.39990234375,20.16064453125,4
Série B,pura bucha /botafogo,9,3,0,1,313.0595703125,300.48046875,12.5791015625,5
Série B,Texas Club 2025,9,3,0,1,310.4599609375,291.449951171875,19.010009765625,6
Série B,TIGRE LEON,9,3,0,1,297.8701171875,310.440185546875,-12.570068359375,7
Série B,Grêmio imortal 37,6,2,0,2,365.619873046875,329.43017578125,36.189697265625,8
Série B,PraiaBravaFC,6,2,0,2,360.68994140625,374.90966796875,-14.2197265625,9
Série B,Sport Clube PAIM,6,2,0,2,338.46044921875,318.000244140625,20.460205078125,10
Série B,Tatols Beants F.C,6,2,0,2,334.33984375,328.06982421875,6.27001953125,11
Série B,Fedato Futebol Clube,6,2,0,2,320.650390625,337.01025390625,-16.35986328125,12
Série B,A Lenda Super Vasco F.c,6,2,0,2,297.710205078125,347.4599609375,-49.749755859375,13
Série B,Dom Camillo68,3,1,0,3,338.75,276.35986328125,62.39013671875,14
Série B,Analove10 ITAQUI GRANDE!!,3,1,0,3,335.48974609375,356.16015625,-20.67041015625,15
Série B,cartola scheuer,3,1,0,3,311.93994140625,340.38037109375,-28.4404296875,16
Série B,BORGES CLIMA FUT F.C,3,1,0,3,305.33984375,328.72998046875,-23.39013671875,17
Série B,seralex,3,1,0,3,256.570068359375,346.2998046875,-89.729736328125,18
Série B,HS SPORTS F.C,0,0,0,4,332.55029296875,363.52001953125,-30.9697265625,19
Série B,FBC Colorado,0,0,0,4,296.830078125,339.39013671875,-42.56005859375,20
