Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série C,DM Studio,21,7,0,1,729.9091796875,657.2099609375,72.69921875,1
Série C,KP JUV.,21,7,0,1,721.919921875,642.2294921875,79.6904296875,2
Série C,Noah A 10,18,6,0,2,792.54052734375,758.570068359375,33.970458984375,3
Série C,TEAM LOPES 99,15,5,0,3,785.25,687.710205078125,97.539794921875,4
Série C,Super Vasco f.c,15,5,0,3,724.079833984375,675.739990234375,48.33984375,5
Série C,Tatols Beants F.C,15,5,0,3,706.52978515625,619.360107421875,87.169677734375,6
Série C,cartola scheuer,15,5,0,3,686.39990234375,645.729736328125,40.670166015625,7
Série C,BORGES CLIMA FUT F.C,12,4,0,4,742.7197265625,708.8203125,33.8994140625,8
Série C,Dom Camillo68,12,4,0,4,733.81005859375,726.20068359375,7.609375,9
Série C,Texas Club 2025,12,4,0,4,709.48974609375,658.89013671875,50.599609375,10
Série C,pura bucha /botafogo,12,4,0,4,642.109375,675.039794921875,-32.930419921875,11
Série C,seralex,12,4,0,4,629.480224609375,664.189453125,-34.709228515625,12
Série C,lsauer fc,9,3,0,5,719.71044921875,707.39990234375,12.310546875,13
Série C,Fedato Futebol Clube,9,3,0,5,696.53076171875,740.9091796875,-44.37841796875,14
Série C,Cril Futebol Club,9,3,0,5,664.85986328125,696.8701171875,-32.01025390625,15
Série C,S.E.R. GRILLO,9,3,0,5,565.009765625,645.0302734375,-80.0205078125,16
Série C,HS SPORTS F.C,6,2,0,6,689.3603515625,701.4599609375,-12.099609375,17
Série C,TIGRE LEON,6,2,0,6,663.150146484375,737.21044921875,-74.060302734375,18
Série C,SERGRILLO,6,2,0,6,585.51953125,699.01025390625,-113.49072265625,19
Série C,ITAQUI F. C.,6,2,0,6,568.220703125,709.019775390625,-140.799072265625,20
