Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série D,Texas Club 2025,36,12,0,3,1334.7392578125,1114.16943359375,220.56982421875,1
Série D,Noah A 10,31,10,1,4,1345.940673828125,1200.6201171875,145.320556640625,2
Série D,lsauer fc,30,10,0,5,1318.8603515625,1156.89990234375,161.96044921875,3
Série D,MauHumor F.C.,27,9,0,6,1417.041015625,1337.6708984375,79.3701171875,4
Série D,Tabajara de Inhaua FC2,27,9,0,6,1348.611572265625,1243.86962890625,104.741943359375,5
Série D,FIGUEIRA DA ILHA,27,9,0,6,1284.6103515625,1279.810546875,4.7998046875,6
Série D,seralex,27,9,0,6,1268.330322265625,1236.20947265625,32.120849609375,7
Série D,FC castelo Branco 2,27,9,0,6,1226.779541015625,1239.510498046875,-12.73095703125,8
Série D,FC Los Castilho,25,8,1,6,1230.4599609375,1227.9697265625,2.490234375,9
Série D,RHANKA DENTY FC25,24,8,0,7,1311.64013671875,1248.10009765625,63.5400390625,10
Série D,Tatols Beants F.C,24,8,0,7,1254.0302734375,1283.5703125,-29.5400390625,11
Série D,pura bucha /botafogo,24,8,0,7,1196.2099609375,1198.560302734375,-2.350341796875,12
Série D,JV5 Tricolor Gaúcho,21,7,0,8,1288.39990234375,1333.08056640625,-44.6806640625,13
Série D,A Lenda Super Vasco F.c,18,6,0,9,1317.649169921875,1312.190673828125,5.45849609375,14
Série D,Fedato Futebol Clube,18,6,0,9,1266.7607421875,1285.990478515625,-19.229736328125,15
Série D,TIGRE LEON,18,6,0,9,1238.349853515625,1317.890625,-79.540771484375,16
Série D,pra sempre imortal fc,15,5,0,10,1223.039794921875,1314.170166015625,-91.13037109375,17
Série D,VASCO MARTINS FC,15,5,0,10,1145.930419921875,1211.050048828125,-65.11962890625,18
Série D,TATITTA FC,9,3,0,12,1014.889892578125,1246.540283203125,-231.650390625,19
Série D,Santo Ângelo United,6,2,0,13,1060.8701171875,1305.26953125,-244.3994140625,20
