Clube ID,Jogos,Pontos,Vitorias,Empates,Derrotas,SG Total,Gols Marcados,Gols Sofridos,Gols Marcados Casa,Gols Sofridos Casa,Gols Marcados Fora,Gols Sofridos Fora,Vitorias Casa,Empates Casa,Derrotas Casa,Vitorias Fora,Empates Fora,Derrotas Fora,Jogos Casa,Jogos Fora
PAL,5,13,4,1,0,5,7,2,2,0,5,2,1,1,0,3,0,0,2,3
FLA,5,11,3,2,0,9,11,2,7,1,4,1,1,1,0,2,1,0,2,3
RBB,5,10,3,1,1,2,6,4,4,2,2,2,2,1,0,1,0,1,3,2
FLU,5,10,3,1,1,2,6,4,4,2,2,2,2,1,0,1,0,1,3,2
CEA,5,7,2,1,2,1,7,6,4,1,3,5,2,0,0,0,1,2,2,3
CRU,5,7,2,1,2,0,6,6,5,1,1,5,2,0,0,0,1,2,2,3
COR,5,7,2,1,2,0,6,6,5,3,1,3,2,0,1,0,1,1,3,2
VAS,5,7,2,1,2,-1,6,7,5,2,1,5,2,1,0,0,0,2,3,2
JUV,5,7,2,1,2,-5,6,11,6,3,0,8,2,1,0,0,0,2,3,2
SAO,5,7,1,4,0,1,5,4,3,2,2,2,1,2,0,0,2,0,3,2
MIR,5,6,1,3,1,2,9,7,5,2,4,5,1,1,0,0,2,1,2,3
INT,5,6,1,3,1,2,5,3,3,1,2,2,1,0,1,0,3,0,2,3
BAH,5,6,1,3,1,-2,5,7,3,2,2,5,1,2,0,0,1,1,3,2
FOR,5,5,1,2,2,0,5,5,3,2,2,3,1,1,1,0,1,1,3,2
BOT,5,5,1,2,2,0,4,4,4,2,0,2,1,1,0,0,1,2,2,3
VIT,5,5,1,2,2,-2,6,8,3,3,3,5,1,0,1,0,2,1,2,3
CAM,5,5,1,2,2,-2,4,6,3,2,1,4,1,2,0,0,0,2,3,2
SAN,5,4,1,1,3,-1,6,7,4,2,2,5,1,1,0,0,0,3,2,3
GRE,5,4,1,1,3,-6,4,10,3,4,1,6,1,1,1,0,0,2,3,2
SPT,5,1,0,1,4,-5,3,8,1,3,2,5,0,0,2,0,1,2,2,3
