Clube ID,% Vitorias Casa,% Empates Casa,% Derrotas Casa,% Vitorias Fora,% Empates Fora,% Derrotas Fora
PAL,50.0,25.0,25.0,100.0,0.0,0.0
FLA,60.0,40.0,0.0,50.0,25.0,25.0
CRU,80.0,20.0,0.0,25.0,25.0,50.0
RBB,60.0,20.0,20.0,50.0,25.0,25.0
CEA,80.0,20.0,0.0,0.0,50.0,50.0
BAH,60.0,40.0,0.0,25.0,25.0,50.0
FLU,75.0,25.0,0.0,20.0,20.0,60.0
COR,80.0,0.0,20.0,0.0,25.0,75.0
CAM,50.0,50.0,0.0,20.0,40.0,40.0
BOT,75.0,25.0,0.0,0.0,40.0,60.0
SAO,40.0,60.0,0.0,0.0,75.0,25.0
MIR,50.0,50.0,0.0,0.0,60.0,40.0
VAS,60.0,20.0,20.0,0.0,0.0,100.0
FOR,50.0,25.0,25.0,0.0,60.0,40.0
INT,50.0,25.0,25.0,0.0,60.0,40.0
VIT,50.0,25.0,25.0,0.0,40.0,60.0
GRE,40.0,40.0,20.0,0.0,25.0,75.0
JUV,40.0,40.0,20.0,0.0,0.0,100.0
SAN,25.0,50.0,25.0,0.0,0.0,100.0
SPT,0.0,25.0,75.0,0.0,20.0,80.0
