Clube ID,Media Gols Marcados Casa,Media Gols Marcados Fora,Media Gols Sofridos Casa,Media Gols Sofridos Fora,Saldo Gols Casa,Saldo Gols Fora
PAL,1.0,1.6666666666666667,0.0,0.6666666666666666,2,3
FLA,3.5,1.3333333333333333,0.5,0.3333333333333333,6,3
RBB,1.3333333333333333,1.0,0.6666666666666666,1.0,2,0
FLU,1.3333333333333333,1.0,0.6666666666666666,1.0,2,0
CEA,2.0,1.0,0.5,1.6666666666666667,3,-2
CRU,2.5,0.3333333333333333,0.5,1.6666666666666667,4,-4
COR,1.6666666666666667,0.5,1.0,1.5,2,-2
VAS,1.6666666666666667,0.5,0.6666666666666666,2.5,3,-4
JUV,2.0,0.0,1.0,4.0,3,-8
SAO,1.0,1.0,0.6666666666666666,1.0,1,0
MIR,2.5,1.3333333333333333,1.0,1.6666666666666667,3,-1
INT,1.5,0.6666666666666666,0.5,0.6666666666666666,2,0
BAH,1.0,1.0,0.6666666666666666,2.5,1,-3
FOR,1.0,1.0,0.6666666666666666,1.5,1,-1
BOT,2.0,0.0,1.0,0.6666666666666666,2,-2
VIT,1.5,1.0,1.5,1.6666666666666667,0,-2
CAM,1.0,0.5,0.6666666666666666,2.0,1,-3
SAN,2.0,0.6666666666666666,1.0,1.6666666666666667,2,-3
GRE,1.0,0.5,1.3333333333333333,3.0,-1,-5
SPT,0.5,0.6666666666666666,1.5,1.6666666666666667,-2,-3
