Clube ID,Jogos,Pontos,Gols Marcados,Gols Sofridos,SG Total,Peso Casa,Peso Fora
FLA,4,10,11.0,2.0,9.0,175.0,136.4
PAL,4,10,5.0,1.0,4.0,161.20000000000002,127.2
FLU,4,9,5.0,3.0,2.0,138.8,107.4
RBB,4,7,5.0,4.0,1.0,136.39999999999998,107.2
CRU,4,7,6.0,5.0,1.0,117.0,86.60000000000001
CEA,4,7,7.0,5.0,2.0,117.0,87.2
JUV,4,6,4.0,9.0,-5.0,127.6,91.4
VAS,4,6,6.0,7.0,-1.0,128.39999999999998,93.0
MIR,4,5,7.0,5.0,2.0,105.0,77.2
FOR,4,5,4.0,3.0,1.0,116.60000000000001,85.0
INT,4,5,4.0,2.0,2.0,139.8,102.4
BOT,4,5,4.0,3.0,1.0,128.60000000000002,93.0
SAO,4,4,3.0,3.0,0.0,104.0,76.0
VIT,4,4,5.0,7.0,-2.0,104.6,74.19999999999999
COR,4,4,4.0,5.0,-1.0,117.0,82.39999999999999
SAN,4,4,5.0,5.0,0.0,112.4,77.6
BAH,4,3,4.0,7.0,-3.0,105.4,71.80000000000001
GRE,4,3,3.0,9.0,-6.0,81.6,53.8
CAM,4,2,3.0,6.0,-3.0,105.4,70.80000000000001
SPT,4,1,2.0,6.0,-4.0,78.8,55.800000000000004
