Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
1,100652,Yuri Alberto,COR,Atacante,visitante,BAH,2.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100742,Matheus Henrique,CRU,Meia,mandante,MIR,-1.9,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100846,Lucas Esteves,GRE,Lateral,mandante,CAM,2.8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100898,Vitinho,BOT,Lateral,visitante,PAL,10.7,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100969,Ronald Lopes,VIT,Meia,visitante,JUV,-1.1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101002,Júnior Santos,CAM,Atacante,visitante,GRE,1.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101027,Diego,CEA,Lateral,visitante,RBB,13.8,0,0,4,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,101290,Ferreira,SAO,Atacante,mandante,SPT,4.2,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101314,Ademir,BAH,Atacante,mandante,COR,4.7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101319,Guga,FLU,Lateral,visitante,FOR,2.5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101573,Pepê,VIT,Meia,visitante,JUV,4.7,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101594,Hugo Moura,VAS,Meia,mandante,SAN,3.3,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101752,Claudinho,VIT,Lateral,visitante,JUV,3.7,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101908,Willian Machado,CEA,Zagueiro,visitante,RBB,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101960,Vitinho,INT,Atacante,visitante,FLA,2.4,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102130,Piquerez,PAL,Lateral,mandante,BOT,5.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102253,Lucas Halter,VIT,Zagueiro,visitante,JUV,-1.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102256,Rollheiser,SAN,Meia,visitante,VAS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102340,Cacá,COR,Zagueiro,visitante,BAH,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102928,Canobbio,FLU,Atacante,visitante,FOR,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102950,Facundo Torres,PAL,Atacante,mandante,BOT,1.7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102975,Escobar,SAN,Lateral,visitante,VAS,10.2,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103014,Laquintana,RBB,Atacante,mandante,CEA,10.1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1,103056,Gabriel Brazão,SAN,Goleiro,visitante,VAS,1.9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
1,103295,Eric Ramires,RBB,Meia,mandante,CEA,8.7,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,103347,Matheus Alexandre,SPT,Lateral,visitante,SAO,5.2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103388,Emmanuel Martínez,FOR,Meia,mandante,FLU,6.6,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103445,Kaio Jorge,CRU,Atacante,mandante,MIR,5.6,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103764,Gabriel Veron,SAN,Atacante,visitante,VAS,3.2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103767,Gabriel Menino,CAM,Meia,visitante,GRE,2.5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104027,Rafael Guanaes,MIR,Técnico,visitante,CRU,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104075,Sabino,SAO,Zagueiro,mandante,SPT,7.3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104085,Bruno Fuchs,PAL,Zagueiro,mandante,BOT,6.2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104134,Fabri,VIT,Atacante,visitante,JUV,1.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104204,Edson Carioca,MIR,Atacante,visitante,CRU,4.5,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104250,João Victor,VAS,Zagueiro,mandante,SAN,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104253,Adriano Martins,JUV,Zagueiro,mandante,VIT,9.3,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104257,João Lucas,GRE,Lateral,mandante,CAM,3.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104271,Hereda,SPT,Lateral,visitante,SAO,8.2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104519,Camilo,GRE,Meia,mandante,CAM,2.6,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104528,Igor Jesus,BOT,Atacante,visitante,PAL,6.9,0,3,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104666,Moisés,FOR,Atacante,mandante,FLU,0.1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,104693,Newton,BOT,Meia,visitante,PAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104754,Juan Vojvoda,FOR,Técnico,mandante,FLU,8.530000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,104758,Enzo Díaz,SAO,Lateral,mandante,SPT,7.7,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104783,Acevedo,BAH,Meia,mandante,COR,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104849,Arezo,GRE,Atacante,mandante,CAM,9.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,104994,Wagner Leonardo,GRE,Zagueiro,mandante,CAM,2.9,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105171,Fabrício Daniel,MIR,Atacante,visitante,CRU,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105214,Santiago Rodríguez,BOT,Meia,visitante,PAL,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105337,Lucas Lima,CEA,Meia,visitante,RBB,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105373,Gabriel Xavier,BAH,Zagueiro,mandante,COR,-0.1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105533,Davó,MIR,Atacante,visitante,CRU,2.8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105568,Lucero,FOR,Atacante,mandante,FLU,10.7,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,105584,Lucas Piton,VAS,Lateral,mandante,SAN,-1.6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105786,Talles Magno,COR,Atacante,visitante,BAH,1.4,0,0,6,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,105811,Wesley,INT,Atacante,visitante,FLA,5.0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105903,José Aldo,MIR,Meia,visitante,CRU,1.7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105949,Rochet,INT,Goleiro,visitante,FLA,3.1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,105990,Santiago Mingo,BAH,Zagueiro,mandante,COR,0.6,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
